ID,Name,HKID,eHR ID,DOB,Gender,Age,Phone,Diagnoses,Medications,Labs (abnormal)
P001,Leung Hin Wa,U2167390,EHR-733052-GWW,1977-03-26,M,49,515831819,I10,Sertraline,"Fasting Glucose, Creatinine, Hb"
P002,Fong Chun Kit,B3999814,EHR-647621-SRE,1949-01-17,M,77,988433761,"D64.9, I10, J44.9","Sertraline, Metformin, Omeprazole, Atorvastatin",TSH
P003,Wan Sze Man,N6452810,EHR-504623-SCW,1994-04-15,F,32,974059567,"E78.5, E11.9","Lisinopril, Metformin",BMI
P004,Ching Ka Ho,C5194249,EHR-582754-WEV,1978-08-28,M,47,234661780,"F32.9, E03.9","Metformin, Lisinopril","Fasting Glucose, Peak Flow"
P005,Man Bik Yu,L1655625,EHR-329170-GOV,1949-10-06,F,76,224783505,"E03.9, N18.3","Sertraline, Metformin, Omeprazole","White Cell Count, SpO2, BMI"
P006,Ng Sze Man,R4307773,EHR-202279-RBX,1969-11-04,F,56,586853131,D64.9,"Salbutamol, Sertraline","SpO2, eGFR, Creatinine"
P007,Chung Ho Yin,C4610567,EHR-333001-UI5,1994-01-30,M,32,544249375,"E03.9, D64.9, E11.9","Atorvastatin, Salbutamol, Warfarin","Fasting Glucose, TSH, BMI"
P008,Siu Lai Kuen,P997261A,EHR-310839-R1G,1976-07-29,F,49,246384524,"I25.1, I10","Paracetamol, Levothyroxine, Lisinopril","Peak Flow, White Cell Count"
P009,Tong Long Yin,H9792208,EHR-586724-GL9,1988-03-12,M,38,968312073,"M17.9, K21.9, E03.9","Omeprazole, Levothyroxine, Warfarin, Amlodipine","BMI, Creatinine, Hb"
P010,Wong Ka Wai,I1571711,EHR-837734-Z77,1947-01-18,F,79,647582675,"H25.9, J45.9","Omeprazole, Salbutamol","Fasting Glucose, White Cell Count"
